clues_ancla,nombre_cluster,ancla_entidad,ancla_nombre
BCIMB000355,BCIMB000355_1,BAJA CALIFORNIA,HOSPITAL GENERAL DE MEXICALI
MNIMB003993,MNIMB003993_4,MICHOACAN DE OCAMPO,HC MARUATA
CSIMB003680,CSIMB003680_5,CHIAPAS,HOSPITAL GENERAL DE TAPACHULA
CSIMB001732,CSIMB001732_6,CHIAPAS,HOSPITAL GENERAL PALENQUE
CSIMB003622,CSIMB003622_7,CHIAPAS,HOSPITAL GENERAL DE REFORMA
CSIMB005500,CSIMB005500_09,CHIAPAS,HOSPITAL DE LAS CULTURAS SAN CRISTOBAL DE LAS CASAS
CSIMB005500,CSIMB005500_9,CHIAPAS,HOSPITAL DE LAS CULTURAS SAN CRISTOBAL DE LAS CASAS
CSIMB005582,CSIMB005582_11,CHIAPAS,HOSPITAL GENERAL BICENTENARIO VILLAFLORES
GRIMB004096,GRIMB004096_13,GUERRERO,DR. JORGE SOBERON ACEVEDO
GRIMB005163,GRIMB005163_14,GUERRERO,HOSPITAL GENERAL OMETEPEC
GRIMB008926,GRIMB008926_15,GUERRERO,HOSPITAL GENERAL DE ACAPULCO
GRIMB008931,GRIMB008931_16,GUERRERO,HOSPITAL GENERAL DE CHILPANCINGO
GRIMB008931,GRIMB008931_17,GUERRERO,HOSPITAL GENERAL DE CHILPANCINGO
GRIMB010536,GRIMB010536_20,GUERRERO,HOSPITAL IMSS BIENESTAR TLAPA
GRIMB010536,GRIMB010536_18,GUERRERO,HOSPITAL IMSS BIENESTAR TLAPA
GRIMB010536,GRIMB010536_19,GUERRERO,HOSPITAL IMSS BIENESTAR TLAPA
HGIMB001481,HGIMB001481_21,HIDALGO,HOSPITAL GENERAL DEL VALLE DEL MEZQUITAL IXMIQUILPAN
HGIMB004812,HGIMB004812_22,HIDALGO,HOSPITAL GENERAL DE LA HUASTECA
HGIMB005005,HGIMB005005_23,HIDALGO,HOSPITAL GENERAL DE TULANCINGO
MCIMB005225,MCIMB005225_24,MEXICO,HOSPITAL GENERAL MIGUEL HIDALGO Y COSTILLA BICENTENARIO
MCIMB009063,MCIMB009063_25,MEXICO,HOSPITAL GENERAL ATLACOMULCO
MCIMB009174,MCIMB009174_26,MEXICO,HOSPITAL GENERAL IXTAPAN DE LA SAL
MCIMB009425,MCIMB009425_27,MEXICO,HOSPITAL MUNICIPAL LERMA
MCIMB012073,MCIMB012073_28,MEXICO,HOSPITAL GENERAL HUEYPOXTLA HERMENEGILDO GALEANA BICENTENARIO
MCIMB012476,MCIMB012476_29,MEXICO,HOSPITAL GENERAL ATENCO “FRANCISCO ALTAMIRANO NÚÑEZ”
